%time,field.header.seq,field.header.stamp,field.header.frame_id,field.origin.x,field.origin.y,field.origin.z,field.dir.x,field.dir.y,field.dir.z,field.score
1647289331898721011,7622,1647289331870330333,camera_color_optical_frame,283.729644775,108.582290649,0.0,32.6319046021,61.1142501831,178.423492432,0.0894796103239
1647289332008332786,7623,1647289331981638669,camera_color_optical_frame,281.426696777,112.75214386,0.0,75.0164794922,65.2345809937,-161.872039795,0.0333276279271
1647289332181065378,7624,1647289332154232263,camera_color_optical_frame,276.556518555,116.325569153,0.0,61.80311203,65.653175354,-167.764724731,0.040026254952
1647289332438922100,7625,1647289332406738519,camera_color_optical_frame,287.642333984,106.229187012,0.0,56.9438896179,63.8143386841,-170.435165405,0.0675365850329
1647289333013479378,7626,1647289332983429431,camera_color_optical_frame,285.696289062,111.745391846,0.0,84.0449523926,51.906085968,-162.300064087,0.0376816391945
1647289333263016432,7627,1647289333230325460,camera_color_optical_frame,287.959014893,109.182151794,0.0,87.2239303589,38.3087768555,-164.612380981,0.0426191724837
1647289333809470003,7628,1647289333783875942,camera_color_optical_frame,307.533294678,108.826530457,0.0,100.869720459,21.6905288696,159.242141724,0.0414811335504
1647289334065459948,7629,1647289334030050039,camera_color_optical_frame,303.951599121,117.642913818,0.0,84.4543838501,35.3593673706,166.927597046,0.0386888533831
1647289334611154662,7630,1647289334585060119,camera_color_optical_frame,268.57824707,140.154449463,0.0,16.2120113373,121.039741516,-143.626861572,0.0261789988726
1647289334865072994,7631,1647289334832635879,camera_color_optical_frame,267.796691895,140.413543701,0.0,18.7520561218,112.864364624,-150.496231079,0.0326940640807
1647289335409760901,7632,1647289335383927822,camera_color_optical_frame,270.151428223,143.812179565,0.0,5.35460472107,69.1227264404,178.402282715,0.109768539667
1647289335667961042,7633,1647289335632518291,camera_color_optical_frame,276.663635254,145.116470337,0.0,4.72948503494,76.2258300781,175.186752319,0.0939190760255
1647289336212759787,7634,1647289336183042526,camera_color_optical_frame,264.671295166,164.432723999,0.0,19.3411102295,105.207633972,-156.442810059,0.0615619458258
1647289336464873994,7635,1647289336430814981,camera_color_optical_frame,262.58203125,165.996261597,0.0,18.7500591278,116.472763062,-147.418640137,0.0489257834852
1647289337011325495,7636,1647289336984910011,camera_color_optical_frame,263.909118652,152.693817139,0.0,7.4783539772,127.281600952,-138.349182129,0.0268068984151
1647289337265225308,7637,1647289337230691909,camera_color_optical_frame,268.831176758,152.439346313,0.0,8.13442993164,115.014808655,-149.741256714,0.0316448807716
1647289337810438618,7638,1647289337784496545,camera_color_optical_frame,288.288391113,146.358337402,0.0,80.2157592773,65.2887954712,-159.061080933,0.028327876702
1647289338064687573,7639,1647289338031268358,camera_color_optical_frame,295.461364746,138.875244141,0.0,59.7744445801,73.5147094727,-164.942474365,0.0461364649236
1647289338611355712,7640,1647289338585817337,camera_color_optical_frame,290.263092041,144.051574707,0.0,34.5260848999,77.9569396973,-170.583145142,0.0516216158867
